CaselD;Activity;Timestamp;Originator
5031782586177f2b9e1f781068755165;Memilih produk;26/10/2021 08:21;Pembeli
5031782586177f2b9e1f781068755165;Masukkan keranjang.;26/10/2021 08:21;Pembeli
5031782586177f2b9e1f781068755165;Beli barang.;26/10/2021 08:21;Pembeli
5031782586177f2b9e1f781068755165;Pilih alamat;26/10/2021 08:21;Pembeli
5031782586177f2b9e1f781068755165;Pilih kurir;26/10/2021 08:21;Pembeli
5031782586177f2b9e1f781068755165;Invisible task;26/10/2021 08:21;Pembeli
5031782586177f2b9e1f781068755165;Pilih pembayaran;26/10/2021 08:22;Pembeli
5031782586177f2b9e1f781068755165;Tukar point;26/10/2021 08:22;Pembeli
5031782586177f2b9e1f781068755165;Konfirmasi pembayaran;26/10/2021 08:22;Pembeli
5031782586177f2b9e1f781068755165;Transaksi diproses;26/10/2021 08:22;Penjual
5031782586177f2b9e1f781068755165;Invisible task 4;26/10/2021 08:22;Pembeli
249133022617951930663b0022946195;Memilih produk;27/10/2021 09:18;Pembeli
249133022617951930663b0022946195;Masukkan keranjang.;27/10/2021 09:18;Pembeli
249133022617951930663b0022946195;Beli barang.;27/10/2021 09:18;Pembeli
249133022617951930663b0022946195;Pilih alamat;27/10/2021 09:18;Pembeli
249133022617951930663b0022946195;Pilih kurir;27/10/2021 09:18;Pembeli
249133022617951930663b0022946195;Invisible task;27/10/2021 09:19;Pembeli
249133022617951930663b0022946195;Pilih pembayaran;27/10/2021 09:19;Pembeli
249133022617951930663b0022946195;invisible task 1;27/10/2021 09:19;Pembeli
249133022617951930663b0022946195;Bayar menggunakan Ovo;27/10/2021 09:19;Pembeli
249133022617951930663b0022946195;invisible task 2;27/10/2021 09:19;Pembeli
249133022617951930663b0022946195;Konfirmasi pembayaran;27/10/2021 09:20;Pembeli
249133022617951930663b0022946195;Transaksi diproses;27/10/2021 09:23;Penjual
249133022617951930663b0022946195;Invisible task 4;27/10/2021 09:25;Pembeli
25713419161795353eb4516056851888;Memilih produk;27/10/2021 09:25;Pembeli
25713419161795353eb4516056851888;Masukkan keranjang.;27/10/2021 09:25;Pembeli
25713419161795353eb4516056851888;Beli barang.;27/10/2021 09:26;Pembeli
25713419161795353eb4516056851888;Pilih alamat;27/10/2021 09:26;Pembeli
25713419161795353eb4516056851888;Pilih kurir;27/10/2021 09:26;Pembeli
25713419161795353eb4516056851888;Invisible task;27/10/2021 09:26;Pembeli
25713419161795353eb4516056851888;Pilih pembayaran;27/10/2021 09:26;Pembeli
25713419161795353eb4516056851888;invisible task 1;27/10/2021 09:26;Pembeli
